Pref,Pref.name,Age,DiagnoseYear,Sex,Population,CaseCount.TB,CaseCount.STBBI
5101,Chengdu,"[33,36)",2010,1,430694,221,370
5101,Chengdu,"[33,36)",2011,0,379722,98,214
5101,Chengdu,"[33,36)",2011,1,385345,157,324
5101,Chengdu,"[33,36)",2012,0,364768,77,132
5101,Chengdu,"[33,36)",2012,1,371020,151,280
5101,Chengdu,"[33,36)",2013,0,358224,93,133
5101,Chengdu,"[33,36)",2013,1,365031,117,279
5101,Chengdu,"[33,36)",2014,0,392196,86,128
5101,Chengdu,"[33,36)",2014,1,400510,132,273
5101,Chengdu,"[33,36)",2015,0,420254,85,165
5101,Chengdu,"[33,36)",2015,1,424208,154,387
5101,Chengdu,"[33,36)",2016,0,429004,99,266
5101,Chengdu,"[33,36)",2016,1,426603,115,379
5101,Chengdu,"[33,36)",2017,0,398851,84,252
5101,Chengdu,"[33,36)",2017,1,388868,105,390
5101,Chengdu,"[33,36)",2018,0,368366,59,269
5101,Chengdu,"[33,36)",2018,1,356771,109,404
5101,Chengdu,"[36,39)",2005,0,399721,154,121
5101,Chengdu,"[36,39)",2005,1,442708,371,368
5101,Chengdu,"[36,39)",2006,0,447221,187,132
5101,Chengdu,"[36,39)",2006,1,496426,398,397
5101,Chengdu,"[36,39)",2007,0,472055,181,154
5101,Chengdu,"[36,39)",2007,1,520604,347,410
5101,Chengdu,"[36,39)",2008,0,476433,146,164
5101,Chengdu,"[36,39)",2008,1,522345,339,358
5101,Chengdu,"[36,39)",2009,0,475595,138,202
5101,Chengdu,"[36,39)",2009,1,515181,280,383
5101,Chengdu,"[36,39)",2010,0,460727,131,237
5101,Chengdu,"[36,39)",2010,1,490643,233,389
5101,Chengdu,"[36,39)",2011,0,469086,108,195
5101,Chengdu,"[36,39)",2011,1,489749,251,394
5101,Chengdu,"[36,39)",2012,0,459999,88,174
5101,Chengdu,"[36,39)",2012,1,473636,193,362
5101,Chengdu,"[36,39)",2013,0,436919,104,166
5101,Chengdu,"[36,39)",2013,1,445621,159,358
5101,Chengdu,"[36,39)",2014,0,388322,87,143
5101,Chengdu,"[36,39)",2014,1,394489,124,365
5101,Chengdu,"[36,39)",2015,0,370007,64,182
5101,Chengdu,"[36,39)",2015,1,376400,107,315
5101,Chengdu,"[36,39)",2016,0,361819,60,179
5101,Chengdu,"[36,39)",2016,1,368587,101,295
5101,Chengdu,"[36,39)",2017,0,395342,75,161
5101,Chengdu,"[36,39)",2017,1,403538,103,342
5101,Chengdu,"[36,39)",2018,0,423571,78,243
5101,Chengdu,"[36,39)",2018,1,427389,105,405
5101,Chengdu,"[39,42)",2005,0,372439,129,89
5101,Chengdu,"[39,42)",2005,1,413950,299,342
5101,Chengdu,"[39,42)",2006,0,372229,104,84
5101,Chengdu,"[39,42)",2006,1,413208,307,317
5101,Chengdu,"[39,42)",2007,0,395577,121,95
5101,Chengdu,"[39,42)",2007,1,439657,338,323
5101,Chengdu,"[39,42)",2008,0,427076,116,95
5101,Chengdu,"[39,42)",2008,1,474518,330,264
5101,Chengdu,"[39,42)",2009,0,475904,130,146
5101,Chengdu,"[39,42)",2009,1,529340,294,332
5101,Chengdu,"[39,42)",2010,0,499502,97,212
5101,Chengdu,"[39,42)",2010,1,551702,268,379
5101,Chengdu,"[39,42)",2011,0,500020,99,207
5101,Chengdu,"[39,42)",2011,1,548685,235,409
5101,Chengdu,"[39,42)",2012,0,493680,94,163
5101,Chengdu,"[39,42)",2012,1,535007,209,358
5101,Chengdu,"[39,42)",2013,0,473120,129,148
5101,Chengdu,"[39,42)",2013,1,503902,172,332
5101,Chengdu,"[39,42)",2014,0,476879,83,171
5101,Chengdu,"[39,42)",2014,1,497758,181,408
5101,Chengdu,"[39,42)",2015,0,464756,101,214
5101,Chengdu,"[39,42)",2015,1,478249,183,393
5101,Chengdu,"[39,42)",2016,0,440244,93,236
5101,Chengdu,"[39,42)",2016,1,448679,136,387
5101,Chengdu,"[39,42)",2017,0,391391,55,222
5101,Chengdu,"[39,42)",2017,1,397342,116,392
5101,Chengdu,"[39,42)",2018,0,373359,63,195
5101,Chengdu,"[39,42)",2018,1,379608,72,368
5101,Chengdu,"[42,45)",2005,0,264162,96,74
5101,Chengdu,"[42,45)",2005,1,294722,257,178
5101,Chengdu,"[42,45)",2006,0,348302,107,65
5101,Chengdu,"[42,45)",2006,1,388475,329,243
5101,Chengdu,"[42,45)",2007,0,409578,132,106
5101,Chengdu,"[42,45)",2007,1,456786,325,260
5101,Chengdu,"[42,45)",2008,0,395642,96,75
5101,Chengdu,"[42,45)",2008,1,440988,300,217
5101,Chengdu,"[42,45)",2009,0,397120,91,127
5101,Chengdu,"[42,45)",2009,1,441841,277,226
5101,Chengdu,"[42,45)",2010,0,419815,75,153
5101,Chengdu,"[42,45)",2010,1,467066,241,272
5101,Chengdu,"[42,45)",2011,0,448210,81,158
5101,Chengdu,"[42,45)",2011,1,497888,227,359
5101,Chengdu,"[42,45)",2012,0,492259,88,162
5101,Chengdu,"[42,45)",2012,1,546802,243,327
5101,Chengdu,"[42,45)",2013,0,510770,79,151
5101,Chengdu,"[42,45)",2013,1,563152,218,346
5101,Chengdu,"[42,45)",2014,0,507143,94,169
5101,Chengdu,"[42,45)",2014,1,555377,197,374
5101,Chengdu,"[42,45)",2015,0,498009,93,189
5101,Chengdu,"[42,45)",2015,1,538578,202,432
5101,Chengdu,"[42,45)",2016,0,476111,100,260
5101,Chengdu,"[42,45)",2016,1,506070,184,449
5101,Chengdu,"[42,45)",2017,0,479593,97,279
5101,Chengdu,"[42,45)",2017,1,499656,156,496
5101,Chengdu,"[42,45)",2018,0,467784,72,270
5101,Chengdu,"[42,45)",2018,1,480558,185,528
5101,Chengdu,"[45,48)",2005,0,170453,51,37
5101,Chengdu,"[45,48)",2005,1,190163,177,130
5101,Chengdu,"[45,48)",2006,0,139268,53,22
5101,Chengdu,"[45,48)",2006,1,156225,142,98
5101,Chengdu,"[45,48)",2007,0,169673,54,26
5101,Chengdu,"[45,48)",2007,1,191061,151,112
5101,Chengdu,"[45,48)",2008,0,281788,63,44
5101,Chengdu,"[45,48)",2008,1,315490,244,142
5101,Chengdu,"[45,48)",2009,0,367251,83,112
5101,Chengdu,"[45,48)",2009,1,410200,267,263
5101,Chengdu,"[45,48)",2010,0,428171,78,166
5101,Chengdu,"[45,48)",2010,1,477552,276,328
5101,Chengdu,"[45,48)",2011,0,412167,75,169
5101,Chengdu,"[45,48)",2011,1,459099,211,310
5101,Chengdu,"[45,48)",2012,0,410130,74,144
5101,Chengdu,"[45,48)",2012,1,455657,234,260
